Regione,Anno,totale incidenti,autovettura privata,autov. priv. con rimorchio, autovettura pubblica,autov. soccorso o polizia,autobus o filobus servizio urbano,autobus servizio extra-urbano,tram,autocarro,autotreno con rimorchio,autosnodato autoarticolato,veicoli speciali,trattore stradale o motrice,trattore agricolo,velocipede,ciclomotore,motociclo a solo,motociclo con passeggero,motocarro o motofurgone,veicolo trazione animale o braccia,veicolo ignoto datosi alla fuga,quadriciclo leggero,altri veicoli,totale veicoli coinvolti,
Piemonte,2001,16953,23818,19,77,167,146,80,67,1942,123,254,153,50,59,824,1920,1037,653,50,4,23,0,112,31578
Valle d'Aosta,2001,447,601,1,0,4,4,4,0,71,3,3,5,1,0,14,49,34,30,3,0,0,0,1,828
Lombardia,2001,54071,67805,27,492,362,401,233,259,6089,279,738,241,120,76,3230,12181,5928,1931,72,20,436,0,889,101809
Trentino Alto Adige,2001,4255,5366,8,17,31,37,17,2,449,40,60,19,17,42,296,733,466,203,15,1,4,0,43,7866
Veneto,2001,21790,27798,19,48,73,160,86,6,2521,195,473,101,98,71,1781,5005,1800,915,52,4,37,0,239,41482
Friuli Venezia Giulia,2001,5925,7627,9,20,35,73,14,0,487,25,79,22,9,22,399,1142,564,317,10,1,6,0,48,10909
Liguria,2001,10402,10556,12,71,95,200,46,2,940,39,129,63,19,7,279,2325,3135,911,114,2,45,0,114,19104
Emilia Romagna,2001,27457,35900,33,81,106,168,101,3,3214,280,589,97,57,84,2697,6009,2252,984,64,2,86,0,307,53114
Italia Settentrionale,2001,141300,179471,128,806,873,1189,581,339,15713,984,2325,701,371,361,9520,29364,15216,5944,380,34,637,0,1753,266690
Toscana,2001,22445,27107,25,69,157,302,108,14,2062,93,257,64,75,32,1267,7353,2711,718,215,4,24,0,324,42981
Umbria,2001,4181,5937,8,9,18,36,10,0,435,32,77,24,10,7,105,750,252,123,28,0,8,0,63,7932
Marche,2001,8316,11533,9,9,39,68,9,2,846,51,110,42,18,19,350,1728,596,374,54,1,9,0,95,15962
Lazio,2001,33024,39568,45,347,276,1610,450,188,2155,148,208,69,32,39,420,8120,5270,1504,81,5,137,0,267,60939
Italia Centrale,2001,67966,84145,87,434,490,2016,577,204,5498,324,652,199,135,97,2142,17951,8829,2719,378,10,178,0,749,127814
Abruzzo,2001,5574,7800,6,1,24,53,14,2,540,49,77,25,20,23,190,1112,341,272,17,1,4,0,62,10633
Molise,2001,1033,1359,1,1,4,11,2,0,106,14,19,4,3,9,16,212,19,45,8,0,6,0,11,1850
Campania,2001,10309,13942,8,24,135,170,57,4,811,100,142,29,26,27,110,2032,1053,673,95,3,50,0,119,19610
Puglia,2001,11188,15334,11,19,106,222,47,1,800,61,95,24,21,66,224,2370,883,394,144,3,63,0,149,21037
Basilicata,2001,911,1229,0,3,5,7,5,0,75,10,13,5,8,6,5,148,45,31,6,0,4,0,4,1609
Calabria,2001,4388,6305,2,6,36,49,10,0,358,22,44,38,15,10,41,755,321,196,77,2,12,0,47,8346
Sicilia,2001,15389,19595,5,34,140,155,58,2,1053,56,84,37,39,27,183,4764,2002,680,146,8,110,0,192,29370
Sardegna,2001,5042,6834,3,7,33,32,21,2,403,5,27,16,8,12,67,1213,382,223,37,1,6,0,40,9372
Italia Meridionale e Insulare,2001,53834,72398,36,95,483,699,214,11,4146,317,501,178,140,180,836,12606,5046,2514,530,18,255,0,624,101827
Totale 2001,2001,263100,336014,251,1335,1846,3904,1372,554,25357,1625,3478,1078,646,638,12498,59921,29091,11177,1288,62,1070,0,3126,496331
Piemonte,2002,17994,25592,23,78,177,186,87,58,2274,86,204,141,168,65,851,1823,1151,705,57,4,33,0,335,34098
Valle d'Aosta,2002,453,640,1,1,0,3,1,0,56,0,3,7,1,0,16,45,22,39,5,0,1,0,7,848
Lombardia,2002,54024,68955,31,469,324,373,228,260,6460,193,636,279,253,69,3430,11268,6200,1848,79,8,440,0,1408,103211
Trentino Alto Adige,2002,4009,5009,5,14,24,41,25,0,458,27,44,24,20,20,325,608,466,193,21,4,10,0,47,7385
Veneto,2002,20745,26649,20,43,76,128,99,3,2690,147,414,117,163,69,1836,4331,1598,873,46,2,63,0,201,39568
Friuli Venezia Giulia,2002,5899,7435,5,15,32,67,12,0,552,24,79,30,33,23,408,1013,634,355,15,0,8,0,63,10803
Liguria,2002,10555,11067,2,63,90,205,37,1,945,19,137,65,45,5,230,2083,3039,1007,99,1,41,0,145,19326
Emilia Romagna,2002,27272,35674,29,80,100,190,96,2,3402,237,496,126,185,78,2640,5393,2441,1009,73,5,52,0,354,52662
Italia Settentrionale,2002,140951,181021,116,763,823,1193,585,324,16837,733,2013,789,868,329,9736,26564,15551,6029,395,24,648,0,2560,267901
Toscana,2002,22240,27577,13,63,125,242,96,0,2201,102,215,79,99,28,1050,6439,3020,873,206,2,39,0,255,42724
Umbria,2002,4116,5877,3,9,21,37,17,0,399,38,70,21,28,15,121,757,283,96,30,5,5,0,52,7884
Marche,2002,8612,12152,4,8,35,47,31,0,972,57,72,42,37,15,439,1548,599,350,40,2,6,0,80,16536
Lazio,2002,32569,40272,45,277,298,1524,120,170,2260,106,163,94,85,43,441,7041,5723,1744,80,6,57,0,392,60941
Italia Centrale,2002,67537,85878,65,357,479,1850,264,170,5832,303,520,236,249,101,2051,15785,9625,3063,356,15,107,0,779,128085
Abruzzo,2002,5495,7907,7,3,21,29,17,0,559,46,57,31,30,23,208,974,329,315,46,1,0,0,69,10672
Molise,2002,877,1189,1,0,4,5,5,0,103,9,5,7,4,6,12,134,30,41,8,1,0,0,7,1571
Campania,2002,12232,17179,21,54,128,160,50,7,1063,94,136,59,55,22,141,1821,1083,862,115,0,32,0,226,23308
Puglia,2002,11550,16314,28,18,123,109,39,4,901,84,102,48,32,76,258,2202,910,468,140,3,33,0,162,22054
Basilicata,2002,918,1343,2,1,5,15,5,0,127,10,10,2,9,5,12,132,57,32,6,0,6,0,14,1793
Calabria,2002,4705,6884,6,11,67,42,26,1,449,17,35,20,46,21,33,565,348,226,82,0,6,0,87,8972
Sicilia,2002,15805,20328,17,29,125,142,62,2,1218,43,82,42,65,32,171,4080,2293,898,144,6,109,0,132,30020
Sardegna,2002,5332,7478,4,4,35,37,24,0,422,10,22,34,17,22,76,1024,366,280,38,1,3,0,66,9963
Italia Meridionale e Insulare,2002,56914,78622,86,120,508,539,228,14,4842,313,449,243,258,207,911,10932,5416,3122,579,12,189,0,763,108353
Totale 2002,2002,265402,345521,267,1240,1810,3582,1077,508,27511,1349,2982,1268,1375,637,12698,53281,30592,12214,1330,51,944,0,4102,504339
Piemonte,2003,16111,22323,16,72,144,180,77,52,1867,73,185,125,146,59,917,1762,1123,672,40,4,17,1,487,30342
Valle d'Aosta,2003,413,546,1,0,1,1,5,0,28,2,1,3,1,3,10,63,33,30,4,0,1,0,8,741
Lombardia,2003,51101,61901,183,469,292,353,225,241,6074,181,553,272,270,65,3676,11408,6906,1819,63,3,470,8,1386,96818
Trentino Alto Adige,2003,3572,4328,8,9,14,48,30,1,444,23,65,18,28,29,298,589,514,190,23,1,7,4,54,6725
Veneto,2003,19213,24324,16,43,74,132,101,4,2391,143,355,113,174,61,1640,4387,1675,887,30,2,39,3,357,36951
Friuli Venezia Giulia,2003,5563,6823,0,9,25,56,13,0,528,20,73,21,20,15,361,1042,748,363,9,0,8,3,85,10222
Liguria,2003,10021,9871,9,72,67,198,33,2,971,25,104,53,50,4,230,2093,3265,1067,93,0,48,3,166,18424
Emilia Romagna,2003,26454,33814,37,102,112,199,98,6,3340,199,466,126,202,60,2780,5556,2546,1056,70,6,66,9,388,51238
Italia Settentrionale,2003,132448,163930,270,776,729,1167,582,306,15643,666,1802,731,891,296,9912,26900,16810,6084,332,16,656,31,2931,251461
Toscana,2003,22798,27865,11,72,147,223,103,4,2267,86,211,83,155,28,1099,6966,3083,798,189,1,70,6,462,43929
Umbria,2003,3861,5328,4,12,22,34,22,1,422,21,57,27,21,8,130,735,295,108,30,1,6,2,49,7335
Marche,2003,8405,11348,7,20,44,63,28,2,910,49,78,35,40,8,425,1802,633,456,36,2,18,3,102,16109
Lazio,2003,31366,38718,10,295,271,1163,231,111,2537,72,159,134,101,26,387,6616,6342,1953,64,3,115,4,994,60306
Italia Centrale,2003,66430,83259,32,399,484,1483,384,118,6136,228,505,279,317,70,2041,16119,10353,3315,319,7,209,15,1607,127679
